url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/17979846-health-advisor-harbour-mall,17979846,Health Advisor ( HARBOUR MALL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678789-delivery-rider-part-time-dominos-pizza-sandakan,15678789,Delivery Rider (Part Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678774-crew-member-full-time-dominos-pizza-sandakan,15678774,Crew Member (Full Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Sandakan, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678790-crew-member-part-time-dominos-pizza-sandakan,15678790,Crew Member (Part Time) ( Domino's Pizza Sandakan ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Sandakan, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678762-delivery-rider-full-time-dominos-pizza-sandakan,15678762,Delivery Rider (Full Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/25805918-门市销售主任-sales-assistant,25805918,门市销售主任 Sales Assistant,Belohas Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan",Sepenuh Masa,"Sandakan, Sabah","MYR2,500 - MYR3,000 Sebulan",3 days ago,"Communication Skills, Sales Support",sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26308950&slug=customer-centres-analyst-sandakan,N/A,"Customer Centres, Analyst (Sandakan)",AIA Malaysia,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,2 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26304240&slug=retail-sales-associate-sandakan-sabah-unlimited-commission,N/A,"Retail Sales Associate (Sandakan, Sabah) | Unlimited commission!!",Brandt International Sdn Bhd,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Sandakan,"MYR1,800 - MYR1,800 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26303283&slug=operations-maintenance-engineer,N/A,Operations - Maintenance Engineer,Timatch Resources Sdn Bhd,"MYR2,500 - MYR4,500 Sebulan",Sepenuh Masa,Sandakan,"MYR2,500 - MYR4,500 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26298259&slug=strategic-key-account-manager,N/A,Strategic Key Account Manager,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290513&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290520&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290516&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26289249&slug=sales-advisor,N/A,Sales Advisor,ITSU WORLD SDN BHD,"MYR1,700 - MYR10,000 Sebulan",Sepenuh Masa,Sandakan,"MYR1,700 - MYR10,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26286536&slug=management-trainee,N/A,MANAGEMENT TRAINEE,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR5,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26286028&slug=processing-technical-specialist,N/A,Processing Technical Specialist,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26285461&slug=sustainability-executive-governance,N/A,SUSTAINABILITY EXECUTIVE- GOVERNANCE,Kuala Lumpur Kepong Berhad,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26284918&slug=site-project-engineer,N/A,Site Project Engineer,KJS Resources Sdn. Bhd.,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,Sandakan,"MYR2,500 - MYR3,500 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26284909&slug=human-resources-and-legal-executive,N/A,Human Resources and Legal Executive,KJS Resources Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR3,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26283380&slug=primary-banker-sandakan,N/A,"Primary Banker, Sandakan",HSBC Global Services Limited,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26278794&slug=pharmacist,N/A,Pharmacist,Alpro Pharmacy Sdn Bhd,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,4 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26263276&slug=strategic-key-account-manager,N/A,Strategic Key Account Manager,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,5 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26259383&slug=management-trainee,N/A,Management Trainee,LTH Group Asia Company,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR5,000 Sebulan",5 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26250819&slug=primary-banker-sandakan,N/A,"Primary Banker, Sandakan",HSBC,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,6 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26248546&slug=assistant-program-executive,N/A,Assistant Program Executive,Global Shepherds,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,7 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26246865&slug=personal-financial-consultant-sandakan,N/A,Personal Financial Consultant - Sandakan,OCBC,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,7 days ago,N/A,sepenuh-masa-sandakan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job/26266750-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-sandakan,26266750,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Sandakan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Sandakan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/26266751-kru-kasual-hari-raya-haji-mcdonalds-harbour-mall-sandakan,26266751,Kru Kasual - Hari Raya Haji ( McDonald's Harbour Mall Sandakan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Sandakan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/17979841-health-advisor-harbour-square,17979841,Health Advisor ( HARBOUR SQUARE ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/17979840-health-advisor-sandakan-sabah,17979840,Health Advisor ( SANDAKAN SABAH ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/17979846-health-advisor-harbour-mall,17979846,Health Advisor ( HARBOUR MALL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678789-delivery-rider-part-time-dominos-pizza-sandakan,15678789,Delivery Rider (Part Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678774-crew-member-full-time-dominos-pizza-sandakan,15678774,Crew Member (Full Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Sandakan, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678790-crew-member-part-time-dominos-pizza-sandakan,15678790,Crew Member (Part Time) ( Domino's Pizza Sandakan ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Sandakan, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678762-delivery-rider-full-time-dominos-pizza-sandakan,15678762,Delivery Rider (Full Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/25805918-门市销售主任-sales-assistant,25805918,门市销售主任 Sales Assistant,Belohas Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan",Sepenuh Masa,"Sandakan, Sabah","MYR2,500 - MYR3,000 Sebulan",3 days ago,"Communication Skills, Sales Support",sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26308950&slug=customer-centres-analyst-sandakan,N/A,"Customer Centres, Analyst (Sandakan)",AIA Malaysia,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,2 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26304240&slug=retail-sales-associate-sandakan-sabah-unlimited-commission,N/A,"Retail Sales Associate (Sandakan, Sabah) | Unlimited commission!!",Brandt International Sdn Bhd,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Sandakan,"MYR1,800 - MYR1,800 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26303283&slug=operations-maintenance-engineer,N/A,Operations - Maintenance Engineer,Timatch Resources Sdn Bhd,"MYR2,500 - MYR4,500 Sebulan",Sepenuh Masa,Sandakan,"MYR2,500 - MYR4,500 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26298259&slug=strategic-key-account-manager,N/A,Strategic Key Account Manager,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290520&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290516&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290513&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26289249&slug=sales-advisor,N/A,Sales Advisor,ITSU WORLD SDN BHD,"MYR1,700 - MYR10,000 Sebulan",Sepenuh Masa,Sandakan,"MYR1,700 - MYR10,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26286536&slug=management-trainee,N/A,MANAGEMENT TRAINEE,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR5,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26286028&slug=processing-technical-specialist,N/A,Processing Technical Specialist,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26285461&slug=sustainability-executive-governance,N/A,SUSTAINABILITY EXECUTIVE- GOVERNANCE,Kuala Lumpur Kepong Berhad,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26284909&slug=human-resources-and-legal-executive,N/A,Human Resources and Legal Executive,KJS Resources Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR3,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26284918&slug=site-project-engineer,N/A,Site Project Engineer,KJS Resources Sdn. Bhd.,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,Sandakan,"MYR2,500 - MYR3,500 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26283380&slug=primary-banker-sandakan,N/A,"Primary Banker, Sandakan",HSBC Global Services Limited,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26278794&slug=pharmacist,N/A,Pharmacist,Alpro Pharmacy Sdn Bhd,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,4 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26263276&slug=strategic-key-account-manager,N/A,Strategic Key Account Manager,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,5 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26259383&slug=management-trainee,N/A,Management Trainee,LTH Group Asia Company,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR5,000 Sebulan",5 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26250819&slug=primary-banker-sandakan,N/A,"Primary Banker, Sandakan",HSBC,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,6 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26248546&slug=assistant-program-executive,N/A,Assistant Program Executive,Global Shepherds,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,7 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26246865&slug=personal-financial-consultant-sandakan,N/A,Personal Financial Consultant - Sandakan,OCBC,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,7 days ago,N/A,sepenuh-masa-sandakan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job/26266750-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-sandakan,26266750,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Sandakan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Sandakan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/26266751-kru-kasual-hari-raya-haji-mcdonalds-harbour-mall-sandakan,26266751,Kru Kasual - Hari Raya Haji ( McDonald's Harbour Mall Sandakan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Sandakan, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/17979841-health-advisor-harbour-square,17979841,Health Advisor ( HARBOUR SQUARE ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/17979840-health-advisor-sandakan-sabah,17979840,Health Advisor ( SANDAKAN SABAH ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/17979846-health-advisor-harbour-mall,17979846,Health Advisor ( HARBOUR MALL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678789-delivery-rider-part-time-dominos-pizza-sandakan,15678789,Delivery Rider (Part Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678774-crew-member-full-time-dominos-pizza-sandakan,15678774,Crew Member (Full Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Sandakan, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678790-crew-member-part-time-dominos-pizza-sandakan,15678790,Crew Member (Part Time) ( Domino's Pizza Sandakan ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Sandakan, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/15678762-delivery-rider-full-time-dominos-pizza-sandakan,15678762,Delivery Rider (Full Time) ( Domino's Pizza Sandakan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sandakan, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-sandakan
https://www.maukerja.my/job/25805918-门市销售主任-sales-assistant,25805918,门市销售主任 Sales Assistant,Belohas Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan",Sepenuh Masa,"Sandakan, Sabah","MYR2,500 - MYR3,000 Sebulan",3 days ago,"Communication Skills, Sales Support",sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26308950&slug=customer-centres-analyst-sandakan,N/A,"Customer Centres, Analyst (Sandakan)",AIA Malaysia,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,2 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26304240&slug=retail-sales-associate-sandakan-sabah-unlimited-commission,N/A,"Retail Sales Associate (Sandakan, Sabah) | Unlimited commission!!",Brandt International Sdn Bhd,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Sandakan,"MYR1,800 - MYR1,800 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26303283&slug=operations-maintenance-engineer,N/A,Operations - Maintenance Engineer,Timatch Resources Sdn Bhd,"MYR2,500 - MYR4,500 Sebulan",Sepenuh Masa,Sandakan,"MYR2,500 - MYR4,500 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26298259&slug=strategic-key-account-manager,N/A,Strategic Key Account Manager,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290520&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290513&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26290516&slug=event-promoter-sandakan,N/A,Event Promoter - Sandakan,Omniraise Sdn BHD,"MYR2,400 - MYR4,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,400 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26289249&slug=sales-advisor,N/A,Sales Advisor,ITSU WORLD SDN BHD,"MYR1,700 - MYR10,000 Sebulan",Sepenuh Masa,Sandakan,"MYR1,700 - MYR10,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26286536&slug=management-trainee,N/A,MANAGEMENT TRAINEE,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR5,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26286028&slug=processing-technical-specialist,N/A,Processing Technical Specialist,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26285461&slug=sustainability-executive-governance,N/A,SUSTAINABILITY EXECUTIVE- GOVERNANCE,Kuala Lumpur Kepong Berhad,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26284909&slug=human-resources-and-legal-executive,N/A,Human Resources and Legal Executive,KJS Resources Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR3,000 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26284918&slug=site-project-engineer,N/A,Site Project Engineer,KJS Resources Sdn. Bhd.,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,Sandakan,"MYR2,500 - MYR3,500 Sebulan",3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26283380&slug=primary-banker-sandakan,N/A,"Primary Banker, Sandakan",HSBC Global Services Limited,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,3 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26278794&slug=pharmacist,N/A,Pharmacist,Alpro Pharmacy Sdn Bhd,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,4 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26263276&slug=strategic-key-account-manager,N/A,Strategic Key Account Manager,Cargill,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,5 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26259383&slug=management-trainee,N/A,Management Trainee,LTH Group Asia Company,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Sandakan,"MYR2,000 - MYR5,000 Sebulan",5 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26250819&slug=primary-banker-sandakan,N/A,"Primary Banker, Sandakan",HSBC,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,6 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26248546&slug=assistant-program-executive,N/A,Assistant Program Executive,Global Shepherds,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,7 days ago,N/A,sepenuh-masa-sandakan
https://www.maukerja.my/job?jobId=26246865&slug=personal-financial-consultant-sandakan,N/A,Personal Financial Consultant - Sandakan,OCBC,Undisclosed,Sepenuh Masa,Sandakan,Undisclosed,7 days ago,N/A,sepenuh-masa-sandakan
