url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
https://www.maukerja.my/job/19894852-general-worker-pekerja-am-mcdonalds-pandu-lalu-teluk-intan,19894852,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",2 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1527395-ejen-penghantar-makanan-mcdonalds-pandu-lalu-teluk-intan,1527395,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1815271-guest-experience-leader-mcdonalds-pandu-lalu-teluk-intan,1815271,Guest Experience Leader ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/2313344-juruteknik-mcdonalds-pandu-lalu-teluk-intan,2313344,JuruTeknik ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Teluk Intan, Perak",4 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1551185-kru-restaurant-mcdonalds-pandu-lalu-teluk-intan,1551185,Kru Restaurant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/52574-sales-merchandiser,52574,Sales Merchandiser,Imperia Asia Resources,"Up to MYR2,000 Sebulan",N/A,"Teluk Intan, Perak",10 years ago,Driving License,sepenuh-masa-teluk-intan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315010-hr-officer,26315010,HR Officer,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315009-human-resources-officer,26315009,Human Resources Officer,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315008-hr-executive,26315008,HR Executive,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315006-human-resource-executive,26315006,Human Resource Executive,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",3 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26266654-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-teluk-intan,26266654,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Teluk Intan, Perak",14 days ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/25825440-health-advisor-rapid-mall,25825440,Health Advisor ( RAPID MALL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Teluk Intan, Perak",20 days ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/21842734-delivery-rider-full-time-dominos-pizza-teluk-intan,21842734,Delivery Rider (Full Time) ( Domino's Pizza Teluk Intan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Teluk Intan, Perak",2 months ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26400097&slug=pemandu-car-carrier-tunda,N/A,Pemandu Car Carrier - Tunda,SYCTP,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,Teluk Intan,4 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26288127&slug=uas-remote-pilot-cum-technician-agricultural-drone,N/A,UAS Remote Pilot Cum Technician (Agricultural Drone),Aonic,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26287641&slug=fleet-assistant-teluk-intan,N/A,Fleet Assistant (Teluk Intan),Ninja Van Malaysia,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26286004&slug=uas-remote-pilot-agricultural-drone,N/A,UAS Remote Pilot (Agricultural Drone),Aonic,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26283069&slug=procurement-lead,N/A,Procurement Lead,Venator Materials Plc,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26279862&slug=procurement-lead,N/A,Procurement Lead,Venator Materials Plc,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26272340&slug=master-teacher-english-academy-teluk-kuantan-beringin-taluk,N/A,Master Teacher English Academy - Teluk Kuantan (Beringin Taluk),Ruangguru For Business,Undisclosed,Sepenuh Masa,Teluk Intan,13 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26269718&slug=fleet-assistant-teluk-intan,N/A,Fleet Assistant (Teluk Intan),Ninja Van,Undisclosed,Sepenuh Masa,Teluk Intan,13 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26148769&slug=uas-remote-pilot-agricultural-drone,N/A,UAS Remote Pilot (Agricultural Drone),Aonic,Undisclosed,"Sepenuh Masa,",Teluk Intan,a month ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/24282313-graduate-employability-program-mcdonalds-pandu-lalu-teluk-intan,24282313,Graduate Employability Program ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Teluk Intan, Perak",9 months ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/22955907-technical-assistant-mcdonalds-pandu-lalu-teluk-intan,22955907,Technical Assistant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Teluk Intan, Perak",a year ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1605941-kru-restaurant-mcdonalds-pandu-lalu-teluk-intan,1605941,Kru Restaurant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/19894852-general-worker-pekerja-am-mcdonalds-pandu-lalu-teluk-intan,19894852,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",2 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1527395-ejen-penghantar-makanan-mcdonalds-pandu-lalu-teluk-intan,1527395,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1815271-guest-experience-leader-mcdonalds-pandu-lalu-teluk-intan,1815271,Guest Experience Leader ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/2313344-juruteknik-mcdonalds-pandu-lalu-teluk-intan,2313344,JuruTeknik ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Teluk Intan, Perak",4 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1551185-kru-restaurant-mcdonalds-pandu-lalu-teluk-intan,1551185,Kru Restaurant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/52574-sales-merchandiser,52574,Sales Merchandiser,Imperia Asia Resources,"Up to MYR2,000 Sebulan",N/A,"Teluk Intan, Perak",10 years ago,Driving License,sepenuh-masa-teluk-intan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315010-hr-officer,26315010,HR Officer,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315009-human-resources-officer,26315009,Human Resources Officer,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315008-hr-executive,26315008,HR Executive,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315006-human-resource-executive,26315006,Human Resource Executive,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",3 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26266654-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-teluk-intan,26266654,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Teluk Intan, Perak",14 days ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/25825440-health-advisor-rapid-mall,25825440,Health Advisor ( RAPID MALL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Teluk Intan, Perak",20 days ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/21842734-delivery-rider-full-time-dominos-pizza-teluk-intan,21842734,Delivery Rider (Full Time) ( Domino's Pizza Teluk Intan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Teluk Intan, Perak",2 months ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26400097&slug=pemandu-car-carrier-tunda,N/A,Pemandu Car Carrier - Tunda,SYCTP,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,Teluk Intan,4 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26288127&slug=uas-remote-pilot-cum-technician-agricultural-drone,N/A,UAS Remote Pilot Cum Technician (Agricultural Drone),Aonic,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26287641&slug=fleet-assistant-teluk-intan,N/A,Fleet Assistant (Teluk Intan),Ninja Van Malaysia,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26286004&slug=uas-remote-pilot-agricultural-drone,N/A,UAS Remote Pilot (Agricultural Drone),Aonic,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26283069&slug=procurement-lead,N/A,Procurement Lead,Venator Materials Plc,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26279862&slug=procurement-lead,N/A,Procurement Lead,Venator Materials Plc,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26272340&slug=master-teacher-english-academy-teluk-kuantan-beringin-taluk,N/A,Master Teacher English Academy - Teluk Kuantan (Beringin Taluk),Ruangguru For Business,Undisclosed,Sepenuh Masa,Teluk Intan,13 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26269718&slug=fleet-assistant-teluk-intan,N/A,Fleet Assistant (Teluk Intan),Ninja Van,Undisclosed,Sepenuh Masa,Teluk Intan,13 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26148769&slug=uas-remote-pilot-agricultural-drone,N/A,UAS Remote Pilot (Agricultural Drone),Aonic,Undisclosed,"Sepenuh Masa,",Teluk Intan,a month ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/24282313-graduate-employability-program-mcdonalds-pandu-lalu-teluk-intan,24282313,Graduate Employability Program ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Teluk Intan, Perak",9 months ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/22955907-technical-assistant-mcdonalds-pandu-lalu-teluk-intan,22955907,Technical Assistant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Teluk Intan, Perak",a year ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1605941-kru-restaurant-mcdonalds-pandu-lalu-teluk-intan,1605941,Kru Restaurant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/19894852-general-worker-pekerja-am-mcdonalds-pandu-lalu-teluk-intan,19894852,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",2 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1527395-ejen-penghantar-makanan-mcdonalds-pandu-lalu-teluk-intan,1527395,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1815271-guest-experience-leader-mcdonalds-pandu-lalu-teluk-intan,1815271,Guest Experience Leader ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/2313344-juruteknik-mcdonalds-pandu-lalu-teluk-intan,2313344,JuruTeknik ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Teluk Intan, Perak",4 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1551185-kru-restaurant-mcdonalds-pandu-lalu-teluk-intan,1551185,Kru Restaurant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/52574-sales-merchandiser,52574,Sales Merchandiser,Imperia Asia Resources,"Up to MYR2,000 Sebulan",N/A,"Teluk Intan, Perak",10 years ago,Driving License,sepenuh-masa-teluk-intan
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315010-hr-officer,26315010,HR Officer,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315009-human-resources-officer,26315009,Human Resources Officer,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315008-hr-executive,26315008,HR Executive,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",9 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26315006-human-resource-executive,26315006,Human Resource Executive,Shoon Fatt Biscuit & Confectionery Factory Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Teluk Intan, Perak",3 days ago,"Human Resources Management, HR Policies",sepenuh-masa-teluk-intan
https://www.maukerja.my/job/26266654-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-teluk-intan,26266654,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Teluk Intan, Perak",14 days ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/25825440-health-advisor-rapid-mall,25825440,Health Advisor ( RAPID MALL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Teluk Intan, Perak",20 days ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/21842734-delivery-rider-full-time-dominos-pizza-teluk-intan,21842734,Delivery Rider (Full Time) ( Domino's Pizza Teluk Intan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Teluk Intan, Perak",2 months ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26400097&slug=pemandu-car-carrier-tunda,N/A,Pemandu Car Carrier - Tunda,SYCTP,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,Teluk Intan,4 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26288127&slug=uas-remote-pilot-cum-technician-agricultural-drone,N/A,UAS Remote Pilot Cum Technician (Agricultural Drone),Aonic,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26287641&slug=fleet-assistant-teluk-intan,N/A,Fleet Assistant (Teluk Intan),Ninja Van Malaysia,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26286004&slug=uas-remote-pilot-agricultural-drone,N/A,UAS Remote Pilot (Agricultural Drone),Aonic,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26283069&slug=procurement-lead,N/A,Procurement Lead,Venator Materials Plc,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26279862&slug=procurement-lead,N/A,Procurement Lead,Venator Materials Plc,Undisclosed,Sepenuh Masa,Teluk Intan,12 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26272340&slug=master-teacher-english-academy-teluk-kuantan-beringin-taluk,N/A,Master Teacher English Academy - Teluk Kuantan (Beringin Taluk),Ruangguru For Business,Undisclosed,Sepenuh Masa,Teluk Intan,13 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26269718&slug=fleet-assistant-teluk-intan,N/A,Fleet Assistant (Teluk Intan),Ninja Van,Undisclosed,Sepenuh Masa,Teluk Intan,13 days ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job?jobId=26148769&slug=uas-remote-pilot-agricultural-drone,N/A,UAS Remote Pilot (Agricultural Drone),Aonic,Undisclosed,"Sepenuh Masa,",Teluk Intan,a month ago,N/A,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/24282313-graduate-employability-program-mcdonalds-pandu-lalu-teluk-intan,24282313,Graduate Employability Program ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Teluk Intan, Perak",9 months ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/22955907-technical-assistant-mcdonalds-pandu-lalu-teluk-intan,22955907,Technical Assistant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Teluk Intan, Perak",a year ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1605941-kru-restaurant-mcdonalds-pandu-lalu-teluk-intan,1605941,Kru Restaurant ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/19894852-general-worker-pekerja-am-mcdonalds-pandu-lalu-teluk-intan,19894852,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",2 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1527395-ejen-penghantar-makanan-mcdonalds-pandu-lalu-teluk-intan,1527395,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
https://www.maukerja.my/job/1815271-guest-experience-leader-mcdonalds-pandu-lalu-teluk-intan,1815271,Guest Experience Leader ( McDonald’s Pandu Lalu Teluk Intan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"MYR1,400 - MYR2,600 Sebulan",N/A,"Teluk Intan, Perak",5 years ago,Any Skill,sepenuh-masa-teluk-intan
